Date,Low,High,Close,Open
2015-09-04,38.5,41.91,40.6,38.63
2015-08-28,34.1,39.8999,38.62,36.0
2015-08-21,39.75,44.45,39.75,42.96
2015-08-14,40.68,43.42,42.88,41.75
2015-08-07,40.21,43.45,41.49,40.24
2015-07-31,38.9,41.38,40.1,39.63
2015-07-24,39.62,43.81,39.63,41.55
2015-07-17,40.39,42.72,41.4,41.96
2015-07-10,39.08,41.64,41.21,39.09
2015-07-02,37.8,41.32,39.03,40.77
2015-06-26,41.33,43.42,41.44,42.92
2015-06-19,38.91,41.89,41.56,40.35
2015-06-12,38.45,41.26,40.705,41.07
2015-06-05,41.71,44.38,41.72,42.61
2015-05-29,41.32,43.09,42.37,43.05
2015-05-22,42.02,49.68,42.61,48.56
2015-05-15,48.4,50.3,48.665,49.0
2015-05-08,46.15,50.08,49.04,49.41
2015-05-01,47.66,52.68,49.39,52.68
2015-04-24,47.91,53.47,52.705,48.61
2015-04-17,46.88,48.91,48.19,47.47
2015-04-10,47.49,49.48,47.73,48.35
2015-04-02,49.15,53.84,49.175,53.24
2015-03-27,50.25,55.93,52.66,55.47
2015-03-20,49.45,56.05,55.76,49.77
2015-03-13,46.47,49.49,49.22,48.05
2015-03-06,47.75,49.2,47.995,48.2
2015-02-27,47.85,52.2,47.9,51.75
2015-02-20,47.86,51.12,51.02,48.77
2015-02-13,45.95,48.95,48.39,46.41
2015-02-06,46.21,49.79,48.145,48.58
2015-01-30,48.63,56.2,49.08,55.89
2015-01-23,49.9345,55.98,55.69,51.0
2015-01-16,48.1,51.45,49.81,51.06
2015-01-09,51.82,54.54,52.02,54.37
2015-01-02,51.3,54.64,53.91,51.65
2014-12-26,49.84,52.25,51.955,51.1
2014-12-19,46.05,51.32,50.71,50.21
2014-12-12,47.39,51.7,49.97,50.44
2014-12-05,46.925,51.75,51.01,49.0
2014-11-28,42.78,49.45,48.53,43.72
2014-11-21,43.2,45.46,43.31,43.97
2014-11-14,41.675,44.541,44.01,42.5
2014-11-07,41.43,44.13,43.2,41.44
2014-10-31,39.245,41.75,41.35,39.6
2014-10-24,34.0009,40.18,39.82,34.19
2014-10-17,28.1,34.34,33.38,31.07
2014-10-10,29.78,36.5,30.78,36.31
2014-10-03,33.51,36.32,36.23,35.35
2014-09-26,34.64,37.0,35.93,37.0
2014-09-19,36.63,38.25,36.63,37.6
2014-09-12,37.38,39.04,37.65,37.96
2014-09-05,37.71,40.54,37.85,39.0
2014-08-29,38.36,40.28,38.881,40.23
2014-08-22,39.445,41.0,39.85,39.6
2014-08-15,37.27,40.0799,39.19,37.79
2014-08-08,35.23,39.85,37.18,39.49
2014-08-01,38.05,41.9495,39.43,41.87
2014-07-25,41.335,43.95,41.68,42.91
2014-07-18,41.65,44.0,42.9199,43.26
2014-07-11,37.9,43.23,42.88,41.72
2014-07-03,41.4,44.08,41.62,44.04
2014-06-27,42.3,44.88,44.0,44.3
2014-06-20,39.67,44.55,44.55,39.68
2014-06-13,38.855,44.43,40.38,44.0
2014-06-06,40.0,43.92,43.88,40.0
2014-05-30,39.19,40.33,40.16,39.38
2014-05-23,38.02,39.5,39.11,38.49
2014-05-16,37.48,39.74,38.525,38.35
2014-05-09,35.79,38.7,38.26,36.08
2014-05-02,34.34,36.72,36.49,36.41
2014-04-25,34.86,38.24,36.0,35.08
2014-04-17,31.86,35.865,35.4,34.0
2014-04-11,33.59,37.48,33.6799,36.78
2014-04-04,35.75,38.9,36.56,35.84
2014-03-28,35.02,38.26,35.39,36.25
2014-03-21,35.91,38.04,36.11,36.62
2014-03-14,35.67,39.88,36.34,38.7
2014-03-07,35.32,39.325,39.02,36.17
2014-02-28,36.02,37.28,36.93,36.2
2014-02-21,34.11,36.45,36.17,34.73
2014-02-14,34.06,36.15,34.41,36.1
2014-02-07,33.05,35.7,35.67,33.95
